,2018-07-26,2018-07-27,2018-07-28,2018-07-29,
adobeph,0,0,0,0,
adocuenca,0,0,0,0,
"ador jao",0,0,0,0,
adore,0,0,0,0,
adp,0,0,0,0,
adr,0,0,0,0,
adsai,0,0,0,0,
adspark,0,0,0,0,
adss,0,0,0,0,
adsummitph,0,0,0,0,
advcash,0,0,0,0,
adventure,0,0,0,0,
advocado,0,84,72,0,
ae,0,0,0,0,
aed,0,0,0,0,
aegean,0,0,0,0,
aegle,0,0,0,0,
aeitsm,0,0,0,0,
aeo,0,0,0,0,
aeon,0,0,0,0,
"aeon credit",0,0,0,0,
"aer lingus",0,0,0,0,
aerolineas,0,0,0,0,
aerosmith,0,0,0,0,
aerosvit,0,0,0,0,
aetrex,0,0,0,0,
aev-csd,0,0,0,0,
aev-soc,0,0,0,0,
aevcsd,0,0,0,0,
aevhr,0,0,0,0,
aevsoc,0,0,0,0,
aexponents,0,0,0,0,
af,0,0,0,0,
afbaguio,0,0,0,0,
affordabuy,0,0,0,0,
affordnails,0,0,0,0,
affos,0,0,0,0,
aficionado,0,0,0,0,
afield,0,0,0,0,
afjiqlap,0,0,0,0,
aflaspinas,0,0,0,0,
afmaginhawa,0,0,0,0,
afmobi,0,0,0,0,
afni,0,0,0,0,
afp,0,0,0,0,
"afp socom",0,0,0,0,
afpgen,0,0,0,0,
afpjsoc,0,0,0,0,
afpmbai,0,0,0,0,
afppgmc,0,0,0,0,
afpslai,0,0,0,0,
afsalon,0,0,0,0,
afse,0,0,0,0,
afsenat,0,0,0,0,
afseupdate,0,0,0,0,
aftersespre,0,0,0,0,
aftership,0,0,0,0,
"ag finance",0,0,0,0,
agam,0,0,0,0,
agape,0,0,0,0,
agb,0,0,0,0,
agcs,0,0,0,0,
agcycomm,0,0,0,0,
agenda,0,0,0,0,
agenda2012,0,0,0,0,
agent,0,0,0,0,
agent.ru,0,0,0,0,
agentako,0,0,0,0,
agentia,0,0,0,0,
agewell,0,0,0,0,
aggos,0,0,0,0,
agham,0,0,0,0,
agilapadala,0,0,0,0,
agoda,0,0,0,0,
agodahotels,0,0,0,0,
agp,0,0,0,0,
agp_corp,0,0,0,0,
agribank,0,0,0,0,
"agrocrop s",0,0,0,0,
agrocrops,0,0,0,0,
agroinvest,0,0,0,0,
agronomika,0,0,0,0,
agsx,0,0,0,0,
ahaviamc,0,0,0,0,
ahc.usa,0,0,0,0,
ahealthph,0,0,0,0,
ahleesmrkna,0,0,0,0,
ahnex,0,0,0,0,
ahnutrition,0,0,0,0,
ahobaga,0,0,0,0,
ahswes,0,0,0,0,
aia,0,0,0,0,
"aia ecare",0,0,0,0,
aibc,0,0,0,0,
aicentinfo,0,0,0,0,
aide,0,0,0,0,
aidea,0,0,0,0,
aiesec,0,0,0,0,
aig,0,0,0,0,
aim,0,0,0,0,
"aim global",0,0,0,0,
aim-hrs,0,0,0,0,
ainspts,0,0,0,0,
aipsurvey,0,0,0,0,
aiqon,0,0,0,0,
air21,0,0,0,0,
air21cs,0,0,0,0,
airah,0,0,0,0,
airahpangit,0,0,0,0,
airasia,0,0,0,0,
airasiabnus,0,0,0,0,
airasiaph,0,0,0,0,
airasiazest,0,0,0,0,
airbaltic,0,0,0,0,
airbnb,0,0,0,0,
airbnbph,0,0,0,0,
airbridge,0,0,0,0,
aircan,0,0,0,0,
airconnect,0,0,0,0,
airfrance,0,0,0,0,
airfrov,0,0,0,0,
airhelp,0,0,0,0,
airpay,0,4,0,0,
airpaz,0,0,0,0,
airpaz.com,0,0,0,0,
airplay,0,0,0,0,
airplus,0,0,0,0,
airportr,0,0,0,0,
airserbia,0,0,0,0,
airspring,0,0,0,0,
airtickets,0,0,0,0,
airtime,0,0,0,0,
aisat,0,0,0,0,
aisle,0,0,0,0,
ait-bsc,0,0,0,0,
aitbusiness,0,0,0,0,
aitbuss,0,0,0,0,
aivee,0,0,0,0,
aiveegroup,0,0,0,0,
aiwah,0,0,0,0,
"ajunt bcn",0,0,0,0,
akafi,0,0,0,0,
akazoo,0,0,0,0,
akcija,0,0,0,0,
akibacafe,0,0,0,0,
"akimitsu ph",0,0,0,0,
ako,0,0,0,0,
aksyonradyo,0,0,0,0,
akulaku,0,0,0,0,
al,0,0,0,0,
"al driver",0,0,0,0,
al-raed,0,0,0,0,
alabanggym,0,0,0,0,
alai,0,0,0,0,
alamat,0,0,0,0,
alano&sons,0,0,0,0,
alansari,0,0,0,0,
"alansari ex",0,0,0,0,
alarm,0,0,0,0,
alaskacycle,0,0,0,0,
alaskaikids,0,0,0,0,
alassal,0,0,0,0,
alaxan,0,0,0,0,
albank,0,0,0,0,
albarestaur,0,0,0,0,
albergus,0,0,0,0,
alcala,0,0,0,0,
aldrin,0,0,0,0,
aleco,0,0,0,0,
alekcafe,0,0,0,0,
alert,0,0,0,0,
alertinfo,0,0,0,0,
alerts,0,0,0,0,
alerts-ipho,0,0,0,0,
alerts@citi,0,0,0,0,
alertsms,0,0,0,0,
alex,0,0,0,0,
alexavegas,0,0,0,0,
alexines,0,0,0,0,
alfa-bank,0,0,0,0,
alfamart,0,0,0,0,
alfarsipers,0,0,0,0,
alfred,0,0,0,0,
alfuttaim,0,0,0,0,
algar,0,0,0,0,
algo,0,0,0,0,
algonplace,0,0,0,0,
alidayu,0,0,0,0,
aliexpress,0,0,0,0,
alina-guess,0,0,0,0,
alipay,0,0,0,0,
alitalia,0,0,0,0,
aljay,0,0,0,0,
aljthomes,0,0,0,0,
"all access",0,0,0,0,
allan_cdo,0,0,0,0,
alldebrid,0,0,0,0,
allelewhite,0,0,0,0,
allhomes,0,0,0,0,
allied,0,0,0,0,
"allied bank",0,0,0,0,
alliedb,0,0,0,0,
alliedbank,0,0,0,0,
alliedcredit,0,0,0,0,
alliedpnb,0,0,0,0,
alliedpromo,0,0,0,0,
"allo trans",0,0,0,0,
allperks,0,0,0,0,
allphones,0,0,0,0,
allrewards,0,0,0,0,
alma,0,0,0,0,
almorshedy,0,0,0,0,
alorica,0,0,0,0,
alpari,0,0,0,0,
alpha,0,0,0,0,
alpha01,0,0,0,0,
alpha123,0,0,0,0,
alphaa,0,0,0,0,
alphainsure,0,0,0,0,
alphaland,0,0,0,0,
alphaoa,0,0,0,0,
alphastrike,0,0,0,0,
alphat_taxi,0,0,0,0,
alps,0,0,0,0,
alraffah,0,0,0,0,
alrtotp,0,0,0,0,
"alt bpi",0,0,0,0,
altavista,0,0,0,0,
alu_hotel,0,0,0,0,
aluhotel,0,0,0,0,
alveo,0,0,0,0,
alvic,0,0,0,0,
alviera,0,0,0,0,
alvin,0,0,0,0,
"alvin tan",0,0,0,0,
ama,0,0,0,0,
"ama inc",0,0,0,0,
"ama univ",0,0,0,0,
ama_srhigh,0,0,0,0,
amabasiced,0,0,0,0,
amacc,0,0,0,0,
amaccguide,0,0,0,0,
amacollege,0,0,0,0,
amaddarfo1,0,0,0,0,
amaddarfu1,0,0,0,0,
amaes,0,0,0,0,
"amaia tmc",0,0,0,0,
amainc,0,0,0,0,
amana,0,0,0,0,
"amana alert",0,0,0,0,
amara,0,0,0,0,
amasrhigh,0,0,0,0,
amauniv,0,0,0,0,
amauonline,0,0,0,0,
amazingrace,0,0,0,0,
amazon,0,0,0,0,
amberlock,0,0,0,0,
ambiante,0,0,0,0,
amcat,0,0,0,0,
amcatx,0,0,0,0,
amcham,0,0,0,0,
"amcham inc.",0,0,0,0,
"amcham ph",0,0,0,0,
amcv,0,0,0,0,
amd,0,0,0,0,
amdir,0,0,0,0,
amdocs,0,0,0,0,
amdtelecom,0,0,0,0,
amedlice,0,0,0,0,
amedlâ¬â¡ce,0,0,0,0,
amedl¡ce,0,0,0,0,
amega,0,0,0,0,
ameliahomes,0,0,0,0,
americain3d,0,0,0,0,
amerikaatbp,0,0,0,0,
"ametech us",0,0,0,0,
ametros,0,0,0,0,
ametros_inc,0,0,0,0,
ameu,0,0,0,0,
ameu.com.ph,0,0,0,0,
amex,0,0,0,0,
amexsg,0,0,0,0,
amici,0,0,0,0,
amityu,0,0,0,0,
amiya_rosa,0,0,0,0,
amminds,0,0,0,0,
amor,0,0,0,0,
amorecard,0,0,0,0,
amorewards,0,0,0,0,
ampm21,0,0,0,0,
amps,0,0,0,0,
amreco,0,0,0,0,
amtrustindo,0,0,0,0,
amtrustph,0,0,0,0,
amunditc,0,0,0,0,
amway,0,0,0,0,
amwayph,0,0,0,0,
amwslai,0,0,0,0,
amy,0,0,0,0,
an2p,0,0,0,0,
anantara,0,0,0,0,
ananymous,0,0,0,0,
anbwoi,0,0,0,0,
ancop,0,0,0,0,
andbnk,0,0,0,0,
andersonph,0,0,0,0,
