,GLOBE,Smart,Others,SUN,other2,Total
2018-07-26,0,0,0,0,0,0
2018-07-27,21374,15284,13,7103,0,43774
2018-07-28,3673,2329,3,1362,0,7367
2018-07-29,0,0,0,0,0,0
Total,25047,17613,16,8465,0,
